Protein,ProteinDescription,ProteinGene,EV13_SAXN_12mz_10 Sum NormalizedArea,EV14_SAXN_12mz_17 Sum NormalizedArea,EV15_SAXN_12mz_31 Sum NormalizedArea,Total04_HydN_12mz_42 Sum NormalizedArea,Total05_HydN_12mz_38 Sum NormalizedArea,Total06_HydN_12mz_40 Sum NormalizedArea
sp|P02763|A1AG1_HUMAN,Alpha-1-acid glycoprotein 1 OS=Homo sapiens OX=9606 GN=ORM1 PE=1 SV=2,ORM1,313026217.28,274747349.02,286858399.86,6197678408.11,5527052046.93,5982318079.39
sp|P02042|HBD_HUMAN,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2,HBD,305823220.05,299211268.88,286001617.73,5504462313.85,5288260104.14,5257960773.53
sp|P02765|FETUA_HUMAN,Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2,AHSG,594506321.53,730700013.34,778040688.29,5866113871.47,5230884534.23,5860068041.67
sp|P02655|APOC2_HUMAN,Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC2 PE=1 SV=1,APOC2,1780500729.63,1787725493.28,2060330691.28,5030297990.82,4835999483.85,5266061005.84
sp|P02749|APOH_HUMAN,Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3,APOH,4995860096.48,4572704572.59,4639049189.53,4671544298.43,4632919611.11,4725420419.70
sp|A0A0A0MRZ8|KVD11_HUMAN / sp|P04433|KV311_HUMAN,"Immunoglobulin kappa variable 3D-11 OS=Homo sapiens OX=9606 GN=IGKV3D-11 PE=3 SV=6
Immunoglobulin kappa variable 3-11 OS=Homo sapiens OX=9606 GN=IGKV3-11 PE=1 SV=1",IGKV3D-11 / IGKV3-11,313820556.51,282342018.63,297063940.08,4502921373.31,4609827551.30,4563030129.95
sp|P19827|ITIH1_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3,ITIH1,125157557866.42,131341875606.34,124151243397.42,4711254903.65,4574393552.97,5073211927.89
sp|P10909|CLUS_HUMAN,Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1,CLU,6569838675.36,6638258433.45,7372470428.23,4705596772.14,4432191249.42,4711331752.34
sp|P02760|AMBP_HUMAN,Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1,AMBP,85350167505.57,79717653626.84,77851395304.07,4211128322.47,4326624407.82,4595816606.30
sp|P04196|HRG_HUMAN,Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1,HRG,630057775.37,561338298.72,551834094.37,4071294613.45,4039289440.41,4149429821.47
sp|P02656|APOC3_HUMAN,Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1,APOC3,1826470720.85,1884177823.01,2071702106.75,3592775777.14,3786615279.83,3903091064.87
sp|P02753|RET4_HUMAN,Retinol-binding protein 4 OS=Homo sapiens OX=9606 GN=RBP4 PE=1 SV=3,RBP4,14949473255.90,12856568591.43,13011579866.35,3958440204.05,3671683908.01,3970840164.20
sp|P04004|VTNC_HUMAN,Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1,VTN,40801800768.78,35647421274.54,38991000690.39,3735693795.05,3667095674.09,3839470433.75
sp|P05546|HEP2_HUMAN,Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3,SERPIND1,5527299202.31,5545612459.67,5942970341.90,3625619716.79,3641809747.91,3734837673.04
sp|Q9Y490|TLN1_HUMAN,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,TLN1,68286227262.95,62991252528.13,62661635623.14,3607692521.37,3591420943.76,3811012610.27
sp|P01624|KV315_HUMAN,Immunoglobulin kappa variable 3-15 OS=Homo sapiens OX=9606 GN=IGKV3-15 PE=1 SV=2,IGKV3-15,548646938.03,485045126.17,529139861.41,3736537659.17,3555240725.53,4051129064.01
sp|A0A075B6H7|KV37_HUMAN,Probable non-functional immunoglobulin kappa variable 3-7 OS=Homo sapiens OX=9606 GN=IGKV3-7 PE=1 SV=1,IGKV3-7,537191930.55,476093571.61,522021747.62,3696025453.65,3508323350.66,3991134723.22
tr|A0A0C4DH90|A0A0C4DH90_HUMAN / sp|A0A0C4DH55|KVD07_HUMAN,"Immunoglobulin kappa variable 3/OR2-268 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGKV3OR2-268 PE=1 SV=5
Immunoglobulin kappa variable 3D-7 OS=Homo sapiens OX=9606 GN=IGKV3D-7 PE=3 SV=5",IGKV3OR2-268 / IGKV3D-7,535706240.37,476750049.84,523195362.64,3632908232.00,3455150615.28,3931654457.96
sp|P03952|KLKB1_HUMAN,Plasma kallikrein OS=Homo sapiens OX=9606 GN=KLKB1 PE=1 SV=1,KLKB1,526844867.45,440540008.93,409108813.37,3421216373.20,3411001520.22,3701571130.64
sp|P21333|FLNA_HUMAN,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,FLNA,83724095338.53,77795993873.59,79004217353.77,3187022598.81,3118066816.81,3346338060.23
sp|P05090|APOD_HUMAN,Apolipoprotein D OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1,APOD,627269214.75,562627712.19,561779802.57,3270260900.73,3058694895.65,3345299702.32
sp|P01031|CO5_HUMAN,Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4,C5,895095849.57,808316257.37,789750877.78,3116129924.14,3047784989.58,3264995483.94
sp|P06396|GELS_HUMAN,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,GSN,8594314619.32,7954476584.43,8171672296.08,2951096716.74,3003304312.67,3253123425.62
sp|P13671|CO6_HUMAN,Complement component C6 OS=Homo sapiens OX=9606 GN=C6 PE=1 SV=3,C6,254352448.77,232870523.00,218930802.02,3087263181.54,2998423513.07,3274817693.59
sp|P25311|ZA2G_HUMAN,Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2,AZGP1,250575846.04,212794776.37,198239828.61,3037648974.86,2937787145.70,3164930141.68
sp|Q9Y2K6|UBP20_HUMAN,Ubiquitin carboxyl-terminal hydrolase 20 OS=Homo sapiens OX=9606 GN=USP20 PE=1 SV=2,USP20,809242595.94,1096447.44,972684.03,4031940.01,2909694020.38,3243767369.01
sp|P35542|SAA4_HUMAN,Serum amyloid A-4 protein OS=Homo sapiens OX=9606 GN=SAA4 PE=1 SV=2,SAA4,453101127.16,422576706.99,450399144.04,2810207125.25,2784546356.11,3059618345.73
sp|P01619|KV320_HUMAN,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2,IGKV3-20,417195381.25,402709887.58,377963104.63,2963869017.72,2734296314.23,3415674100.77
sp|P02654|APOC1_HUMAN,Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1,APOC1,932981290.82,945010590.30,995957613.58,3410783424.80,2681898705.37,3292837299.12
sp|Q6S8J3|POTEE_HUMAN,POTE ankyrin domain family member E OS=Homo sapiens OX=9606 GN=POTEE PE=2 SV=3,POTEE,63250638260.58,61361227227.85,66464419988.04,2791998806.59,2679304949.67,2865243844.61
sp|P43652|AFAM_HUMAN,Afamin OS=Homo sapiens OX=9606 GN=AFM PE=1 SV=1,AFM,185656050.21,169373975.39,186064949.42,2766072514.29,2666819889.64,2899083829.86
sp|P19652|A1AG2_HUMAN,Alpha-1-acid glycoprotein 2 OS=Homo sapiens OX=9606 GN=ORM2 PE=1 SV=2,ORM2,238648553.10,229901094.69,239201495.18,2857974191.11,2555025874.65,2955081219.51
sp|A5A3E0|POTEF_HUMAN,POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2,POTEF,47500774224.52,45598496962.26,52289881597.55,2569093113.96,2473101573.08,2636881113.61
sp|P0CG38|POTEI_HUMAN / sp|P0CG39|POTEJ_HUMAN,"POTE ankyrin domain family member I OS=Homo sapiens OX=9606 GN=POTEI PE=3 SV=1
POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1",POTEI / POTEJ,46412261224.07,46145174874.59,52485022170.98,2514615964.55,2395678673.08,2576697673.46
sp|P01780|HV307_HUMAN,Immunoglobulin heavy variable 3-7 OS=Homo sapiens OX=9606 GN=IGHV3-7 PE=1 SV=2,IGHV3-7,676364758.13,617961979.30,651987971.58,2586414514.01,2355562075.75,2755718392.97
sp|Q562R1|ACTBL_HUMAN,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,ACTBL2,60973863376.49,56588911936.19,61324007827.87,2284433177.39,2270812874.92,2333413943.43
sp|P07996|TSP1_HUMAN,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,THBS1,82577991321.26,73286715313.27,74498333955.56,2226443513.53,2219928255.20,2372425295.46
sp|P10643|CO7_HUMAN,Complement component C7 OS=Homo sapiens OX=9606 GN=C7 PE=1 SV=2,C7,160892658.03,128722915.93,145323883.10,2278235747.18,2213013652.21,2428190627.82
sp|P05156|CFAI_HUMAN,Complement factor I OS=Homo sapiens OX=9606 GN=CFI PE=1 SV=2,CFI,131398637.08,112651180.26,107652087.62,2369050963.27,2195976880.01,2442778786.85
sp|O95445|APOM_HUMAN,Apolipoprotein M OS=Homo sapiens OX=9606 GN=APOM PE=1 SV=2,APOM,360544880.45,341112122.50,367816258.12,2323555328.08,2189094845.28,2538638343.38
sp|A0A0C4DH42|HV366_HUMAN / sp|P01767|HV353_HUMAN,"Immunoglobulin heavy variable 3-66 OS=Homo sapiens OX=9606 GN=IGHV3-66 PE=3 SV=1
Immunoglobulin heavy variable 3-53 OS=Homo sapiens OX=9606 GN=IGHV3-53 PE=1 SV=2",IGHV3-66 / IGHV3-53,543995342.96,495383122.20,535294193.30,2400104897.59,2173799324.93,2632688197.47
sp|P02775|CXCL7_HUMAN,Platelet basic protein OS=Homo sapiens OX=9606 GN=PPBP PE=1 SV=3,PPBP,27826429804.58,26436143203.30,28042916728.65,2144071214.46,2114445105.90,2314356009.65
sp|Q03591|FHR1_HUMAN,Complement factor H-related protein 1 OS=Homo sapiens OX=9606 GN=CFHR1 PE=1 SV=2,CFHR1,233173120.29,218706843.69,216302033.33,2147541653.27,2106438670.71,2380742481.50
sp|A0A0B4J1V1|HV321_HUMAN,Immunoglobulin heavy variable 3-21 OS=Homo sapiens OX=9606 GN=IGHV3-21 PE=1 SV=1,IGHV3-21,466108503.31,413688172.50,436721160.58,2188710376.00,1983567428.12,2343698729.26
sp|Q96PD5|PGRP2_HUMAN,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1,PGLYRP2,287668237.23,293665305.47,315521622.55,1998226849.23,1978488292.32,2078663661.79
sp|A0A0B4J1X5|HV374_HUMAN,Immunoglobulin heavy variable 3-74 OS=Homo sapiens OX=9606 GN=IGHV3-74 PE=3 SV=1,IGHV3-74,518535822.76,477456161.68,517107258.88,2181336533.50,1974895306.46,2397183458.56
sp|P01762|HV311_HUMAN,Immunoglobulin heavy variable 3-11 OS=Homo sapiens OX=9606 GN=IGHV3-11 PE=1 SV=2,IGHV3-11,465746700.31,414047506.94,437423715.14,2174349032.28,1970218189.82,2326484231.03
sp|P00736|C1R_HUMAN,Complement C1r subcomponent OS=Homo sapiens OX=9606 GN=C1R PE=1 SV=2,C1R,2995186056.73,2938626790.60,2962450466.24,1950447285.89,1935837356.45,1994765709.17
sp|Q99728|BARD1_HUMAN,BRCA1-associated RING domain protein 1 OS=Homo sapiens OX=9606 GN=BARD1 PE=1 SV=2,BARD1,188659024.74,160663959.20,160777121.55,2032727555.69,1916854829.27,16126969.56
sp|P02743|SAMP_HUMAN,Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2,APCS,946609800.26,817797915.88,841703338.59,2051772443.73,1895359944.10,2070260740.47
sp|O43866|CD5L_HUMAN,CD5 antigen-like OS=Homo sapiens OX=9606 GN=CD5L PE=1 SV=1,CD5L,1186388131.18,1080889564.72,1075984350.02,1820068948.84,1850692114.64,2054546317.75
sp|P08697|A2AP_HUMAN,Alpha-2-antiplasmin OS=Homo sapiens OX=9606 GN=SERPINF2 PE=1 SV=3,SERPINF2,441043243.92,407225690.03,417332600.65,1875615276.29,1831114427.90,2016691407.48
sp|P01019|ANGT_HUMAN,Angiotensinogen OS=Homo sapiens OX=9606 GN=AGT PE=1 SV=3,AGT,592310769.59,543793625.21,548235708.50,1927884216.53,1812644855.55,2034435227.52
sp|P09871|C1S_HUMAN,Complement C1s subcomponent OS=Homo sapiens OX=9606 GN=C1S PE=1 SV=1,C1S,32013280100.72,28102943908.10,27801292875.29,1575207004.55,1597726105.64,1727862449.49
tr|A0A0J9YY99|A0A0J9YY99_HUMAN,Ig-like domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=1,,428152858.82,400219748.65,412115238.79,1791963611.74,1591897815.58,1882870470.52
sp|O00487|PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1,PSMD14,52518589.79,51928595.49,62929802.76,1559190659.13,1584570123.14,1813581906.92
sp|A0A0C4DH31|HV118_HUMAN,Immunoglobulin heavy variable 1-18 OS=Homo sapiens OX=9606 GN=IGHV1-18 PE=3 SV=1,IGHV1-18,383431716.48,339702979.61,377756985.46,1723925586.15,1548477523.63,1921785677.98
sp|P02747|C1QC_HUMAN,Complement C1q subcomponent subunit C OS=Homo sapiens OX=9606 GN=C1QC PE=1 SV=3,C1QC,148086184.94,147954511.66,151408429.56,1517642221.58,1457356594.01,1573599046.18
sp|P23083|HV102_HUMAN,Immunoglobulin heavy variable 1-2 OS=Homo sapiens OX=9606 GN=IGHV1-2 PE=1 SV=2,IGHV1-2,375685334.69,330775934.98,370872918.08,1612126720.71,1452287620.62,1834392622.08
sp|P35579|MYH9_HUMAN,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,MYH9,58087033082.97,52903547953.73,53071343328.71,1373589688.52,1411996758.17,1450181258.67
sp|P00748|FA12_HUMAN,Coagulation factor XII OS=Homo sapiens OX=9606 GN=F12 PE=1 SV=3,F12,81723638.25,82325485.03,71387991.08,1329762057.43,1410822066.84,1517966428.15
