From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
ANXA5,P08758,reviewed,ANXA5_HUMAN,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),ANXA5 ANX5 ENX2 PP4,Homo sapiens (Human),320
CLTC,Q00610,reviewed,CLH1_HUMAN,Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17),CLTC CLH17 CLTCL2 KIAA0034,Homo sapiens (Human),1675
ENO1,P06733,reviewed,ENOA_HUMAN,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),ENO1 ENO1L1 MBPB1 MPB1,Homo sapiens (Human),434
LGALS3BP,Q08380,reviewed,LG3BP_HUMAN,Galectin-3-binding protein (Basement membrane autoantigen p105) (Lectin galactoside-binding soluble 3-binding protein) (Mac-2-binding protein) (MAC2BP) (Mac-2 BP) (Tumor-associated antigen 90K),LGALS3BP M2BP,Homo sapiens (Human),585
YWHAZ,P63104,reviewed,1433Z_HUMAN,14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1),YWHAZ,Homo sapiens (Human),245
ALB,P02768,reviewed,ALBU_HUMAN,Albumin,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341,Homo sapiens (Human),609
ALB,Q8TES7,reviewed,FBF1_HUMAN,Fas-binding factor 1 (FBF-1) (Protein albatross),FBF1 ALB KIAA1863,Homo sapiens (Human),1133
FLOT1,O75955,reviewed,FLOT1_HUMAN,Flotillin-1,FLOT1,Homo sapiens (Human),427
FLOT1,P41440,reviewed,S19A1_HUMAN,Reduced folate transporter (FOLT) (Cyclic dinucleotide:anion antiporter SLC19A1) (Folate:anion antiporter SLC19A1) (Intestinal folate carrier 1) (IFC-1) (Placental folate transporter) (Reduced folate carrier protein) (RFC) (hRFC) (Reduced folate transporter 1) (RFT-1) (Solute carrier family 19 member 1) (hSLC19A1),SLC19A1 FLOT1 RFC1,Homo sapiens (Human),591
YWHAE,P62258,reviewed,1433E_HUMAN,14-3-3 protein epsilon (14-3-3E),YWHAE,Homo sapiens (Human),255
ACTN4,O43707,reviewed,ACTN4_HUMAN,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,Homo sapiens (Human),911
CFL1,P23528,reviewed,COF1_HUMAN,"Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)",CFL1 CFL,Homo sapiens (Human),166
EEF1A1,P68104,reviewed,EF1A1_HUMAN,Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7),EEF1A1 EEF1A EF1A LENG7,Homo sapiens (Human),462
LDHB,P07195,reviewed,LDHB_HUMAN,L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46),LDHB,Homo sapiens (Human),334
TPI1,P60174,reviewed,TPIS_HUMAN,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase),TPI1 TPI,Homo sapiens (Human),249
A2M,P01023,reviewed,A2MG_HUMAN,Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5),A2M CPAMD5 FWP007,Homo sapiens (Human),1474
ALDOA,P04075,reviewed,ALDOA_HUMAN,Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase),ALDOA ALDA,Homo sapiens (Human),364
CLIC1,O00299,reviewed,CLIC1_HUMAN,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),CLIC1 G6 NCC27,Homo sapiens (Human),241
FLNA,P21333,reviewed,FLNA_HUMAN,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),FLNA FLN FLN1,Homo sapiens (Human),2647
HSP90AB1,P08238,reviewed,HS90B_HUMAN,Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84) (Heat shock protein family C member 3),HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB,Homo sapiens (Human),724
HSPA1A,P0DMV8,reviewed,HS71A_HUMAN,Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1) (Heat shock protein family A member 1A),HSPA1A HSP72 HSPA1 HSX70,Homo sapiens (Human),641
PFN1,P07737,reviewed,PROF1_HUMAN,Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I),PFN1,Homo sapiens (Human),140
PPIA,P62937,reviewed,PPIA_HUMAN,"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]",PPIA CYPA,Homo sapiens (Human),165
PRDX1,Q06830,reviewed,PRDX1_HUMAN,Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1),PRDX1 PAGA PAGB TDPX2,Homo sapiens (Human),199
YWHAQ,P27348,reviewed,1433T_HUMAN,14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1),YWHAQ,Homo sapiens (Human),245
EEF2,P13639,reviewed,EF2_HUMAN,Elongation factor 2 (EF-2) (EC 3.6.5.-),EEF2 EF2,Homo sapiens (Human),858
ITGB1,P05556,reviewed,ITB1_HUMAN,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),ITGB1 FNRB MDF2 MSK12,Homo sapiens (Human),798
MSN,P26038,reviewed,MOES_HUMAN,Moesin (Membrane-organizing extension spike protein),MSN,Homo sapiens (Human),577
PGK1,P00558,reviewed,PGK1_HUMAN,Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2),PGK1 PGKA MIG10 OK/SW-cl.110,Homo sapiens (Human),417
RAB5C,P51148,reviewed,RAB5C_HUMAN,Ras-related protein Rab-5C (EC 3.6.5.2) (L1880) (RAB5L),RAB5C RABL,Homo sapiens (Human),216
VCP,P55072,reviewed,TERA_HUMAN,Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP),VCP HEL-220 HEL-S-70,Homo sapiens (Human),806
GNAS,O95467,reviewed,GNAS3_HUMAN,Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide],GNAS GNAS1,Homo sapiens (Human),245
GNAS,P63092,reviewed,GNAS2_HUMAN,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein),GNAS GNAS1 GSP,Homo sapiens (Human),394
GNAS,P84996,reviewed,ALEX_HUMAN,Protein ALEX (Alternative gene product encoded by XL-exon),GNAS GNAS1,Homo sapiens (Human),626
GNAS,Q5JWF2,reviewed,GNAS1_HUMAN,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas),GNAS GNAS1,Homo sapiens (Human),1037
HSPA5,P11021,reviewed,BIP_HUMAN,Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),HSPA5 GRP78,Homo sapiens (Human),654
EHD4,Q9H223,reviewed,EHD4_HUMAN,EH domain-containing protein 4 (Hepatocellular carcinoma-associated protein 10/11) (PAST homolog 4),EHD4 HCA10 HCA11 PAST4 FKSG7,Homo sapiens (Human),541
RAP1B,P61224,reviewed,RAP1B_HUMAN,Ras-related protein Rap-1b (EC 3.6.5.2) (GTP-binding protein smg p21B),RAP1B OK/SW-cl.11,Homo sapiens (Human),184
ARF1,P84077,reviewed,ARF1_HUMAN,ADP-ribosylation factor 1 (EC 3.6.5.2),ARF1,Homo sapiens (Human),181
FN1,P02751,reviewed,FINC_HUMAN,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],FN1 FN,Homo sapiens (Human),2477
MFGE8,Q08431,reviewed,MFGM_HUMAN,Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin],MFGE8,Homo sapiens (Human),387
RAC1,P63000,reviewed,RAC1_HUMAN,Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1),RAC1 TC25 MIG5,Homo sapiens (Human),192
ATP1A1,P05023,reviewed,AT1A1_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),ATP1A1,Homo sapiens (Human),1023
CDC42,P60953,reviewed,CDC42_HUMAN,Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein),CDC42,Homo sapiens (Human),191
GNB2,P62879,reviewed,GBB2_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2),GNB2,Homo sapiens (Human),340
HIST1H4A,P62805,reviewed,H4_HUMAN,Histone H4,H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4,Homo sapiens (Human),103
PTGFRN,Q9P2B2,reviewed,FPRP_HUMAN,Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315),PTGFRN CD9P1 EWIF FPRP KIAA1436,Homo sapiens (Human),879
SLC3A2,P08195,reviewed,4F2_HUMAN,Amino acid transporter heavy chain SLC3A2 (4F2 cell-surface antigen heavy chain) (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98),SLC3A2 MDU1,Homo sapiens (Human),630
ANXA1,P04083,reviewed,ANXA1_HUMAN,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26],ANXA1 ANX1 LPC1,Homo sapiens (Human),346
ANXA4,P09525,reviewed,ANXA4_HUMAN,Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II),ANXA4 ANX4,Homo sapiens (Human),319
EZR,P15311,reviewed,EZRI_HUMAN,Ezrin (Cytovillin) (Villin-2) (p81),EZR VIL2,Homo sapiens (Human),586
RAB14,P61106,reviewed,RAB14_HUMAN,Ras-related protein Rab-14 (EC 3.6.5.2),RAB14,Homo sapiens (Human),215
RAB7A,P51149,reviewed,RAB7A_HUMAN,Ras-related protein Rab-7a (EC 3.6.5.2),RAB7A RAB7,Homo sapiens (Human),207
TFRC,P02786,reviewed,TFR1_HUMAN,"Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]",TFRC,Homo sapiens (Human),760
ACLY,P53396,reviewed,ACLY_HUMAN,ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme),ACLY,Homo sapiens (Human),1101
ADAM10,O14672,reviewed,ADA10_HUMAN,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),ADAM10 KUZ MADM,Homo sapiens (Human),748
AHCY,P23526,reviewed,SAHH_HUMAN,Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase),AHCY SAHH,Homo sapiens (Human),432
ANXA6,P08133,reviewed,ANXA6_HUMAN,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),ANXA6 ANX6,Homo sapiens (Human),673
GNAI2,P04899,reviewed,GNAI2_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),GNAI2 GNAI2B,Homo sapiens (Human),355
HSPB1,P04792,reviewed,HSPB1_HUMAN,Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Heat shock protein family B member 1) (Stress-responsive protein 27) (SRP27),HSPB1 HSP27 HSP28,Homo sapiens (Human),205
IGSF8,Q969P0,reviewed,IGSF8_HUMAN,Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocytes-associated transmembrane protein 4) (KCT-4) (LIR-D1) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316),IGSF8 CD81P3 EWI2 KCT4,Homo sapiens (Human),613
RDX,P35241,reviewed,RADI_HUMAN,Radixin,RDX,Homo sapiens (Human),583
ACTN1,P12814,reviewed,ACTN1_HUMAN,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),ACTN1,Homo sapiens (Human),892
CCT2,P78371,reviewed,TCPB_HUMAN,T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta) (Chaperonin containing T-complex polypeptide 1 subunit 2),CCT2 99D8.1 CCTB,Homo sapiens (Human),535
MYH9,P35579,reviewed,MYH9_HUMAN,"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)",MYH9,Homo sapiens (Human),1960
MYO1C,O00159,reviewed,MYO1C_HUMAN,Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb),MYO1C,Homo sapiens (Human),1063
MYO1C,Q12965,reviewed,MYO1E_HUMAN,Unconventional myosin-Ie (Myosin-Ic) (Unconventional myosin 1E),MYO1E MYO1C,Homo sapiens (Human),1108
PRDX2,P32119,reviewed,PRDX2_HUMAN,Peroxiredoxin-2 (EC 1.11.1.24) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2),PRDX2 NKEFB TDPX1,Homo sapiens (Human),198
RAB5B,P61020,reviewed,RAB5B_HUMAN,Ras-related protein Rab-5B (EC 3.6.5.2),RAB5B,Homo sapiens (Human),215
RHOA,P61586,reviewed,RHOA_HUMAN,Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12),RHOA ARH12 ARHA RHO12,Homo sapiens (Human),193
TUBA1B,P68363,reviewed,TBA1B_HUMAN,Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain],TUBA1B,Homo sapiens (Human),451
YWHAG,P61981,reviewed,1433G_HUMAN,"14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]",YWHAG,Homo sapiens (Human),247
ANXA11,P50995,reviewed,ANX11_HUMAN,Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50),ANXA11 ANX11,Homo sapiens (Human),505
CD44,P16070,reviewed,CD44_HUMAN,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),CD44 LHR MDU2 MDU3 MIC4,Homo sapiens (Human),742
GNB1,P62873,reviewed,GBB1_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1),GNB1,Homo sapiens (Human),340
GPI,P06744,reviewed,G6PI_HUMAN,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36),GPI,Homo sapiens (Human),558
ITGA6,P23229,reviewed,ITA6_HUMAN,Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)],ITGA6,Homo sapiens (Human),1130
PDCD6,O75340,reviewed,PDCD6_HUMAN,Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2),PDCD6 ALG2,Homo sapiens (Human),191
ACTA1,P68133,reviewed,ACTS_HUMAN,"Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]",ACTA1 ACTA,Homo sapiens (Human),377
RAB1A,P62820,reviewed,RAB1A_HUMAN,Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein),RAB1A RAB1,Homo sapiens (Human),205
RAB1B,Q9H0U4,reviewed,RAB1B_HUMAN,Ras-related protein Rab-1B (EC 3.6.5.2),RAB1B,Homo sapiens (Human),201
RAB5A,P20339,reviewed,RAB5A_HUMAN,Ras-related protein Rab-5A (EC 3.6.5.2),RAB5A RAB5,Homo sapiens (Human),215
RAB8A,P61006,reviewed,RAB8A_HUMAN,Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel),RAB8A MEL RAB8,Homo sapiens (Human),207
RALA,P11233,reviewed,RALA_HUMAN,Ras-related protein Ral-A (EC 3.6.5.2),RALA RAL,Homo sapiens (Human),206
TKT,P29401,reviewed,TKT_HUMAN,Transketolase (TK) (EC 2.2.1.1),TKT,Homo sapiens (Human),623
TKT,Q16832,reviewed,DDR2_HUMAN,"Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)",DDR2 NTRKR3 TKT TYRO10,Homo sapiens (Human),855
BROX,Q5VW32,reviewed,BROX_HUMAN,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),BROX BROFTI C1orf58,Homo sapiens (Human),411
GDI2,P50395,reviewed,GDIB_HUMAN,Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2),GDI2 RABGDIB,Homo sapiens (Human),445
IST1,P53990,reviewed,IST1_HUMAN,IST1 homolog (hIST1) (Charged multivesicular body protein 8) (CHMP8) (Putative MAPK-activating protein PM28),IST1 KIAA0174,Homo sapiens (Human),364
RAB10,P61026,reviewed,RAB10_HUMAN,Ras-related protein Rab-10 (EC 3.6.5.2),RAB10,Homo sapiens (Human),200
RAB35,Q15286,reviewed,RAB35_HUMAN,Ras-related protein Rab-35 (GTP-binding protein RAY) (Ras-related protein Rab-1C),RAB35 RAB1C RAY,Homo sapiens (Human),201
SLC2A1,P11166,reviewed,GTR1_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)",SLC2A1 GLUT1,Homo sapiens (Human),492
TUBA1A,Q71U36,reviewed,TBA1A_HUMAN,Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 3) (Tubulin B-alpha-1) (Tubulin alpha-3 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain],TUBA1A TUBA3,Homo sapiens (Human),451
VPS28,Q9UK41,reviewed,VPS28_HUMAN,Vacuolar protein sorting-associated protein 28 homolog (H-Vps28) (ESCRT-I complex subunit VPS28),VPS28,Homo sapiens (Human),221
WDR1,O75083,reviewed,WDR1_HUMAN,WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1),WDR1,Homo sapiens (Human),606
YWHAB,P31946,reviewed,1433B_HUMAN,"14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",YWHAB,Homo sapiens (Human),246
CHMP2A,O43633,reviewed,CHM2A_HUMAN,Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1),CHMP2A BC2 CHMP2,Homo sapiens (Human),222
