peptide,Protein,LOD,LOQ,slope_linear,intercept_linear,intercept_noise,stdev_noise,stndev_noise
Q9BVK6,sp|Q9BVK6|TMED9_HUMAN,7.615573627388796,8.548749651354566,30621.02445166334,153902.28499092878,215333.46333123287,,85882.74395870537
Q9NZN5,sp|Q9NZN5|ARHGC_HUMAN,inf,inf,2582.226566660517,25436.717678172397,86581.75552744974,,inf
Q9UII2,sp|Q9UII2|ATIF1_HUMAN,0.6396158526943709,inf,28290.08886383504,16708.110912849228,16743.396109036254,,9029.752057627176
Q9UP95_Q9UHW9,sp|Q9UP95|S12A4_HUMAN_sp|Q9UHW9|S12A6_HUMAN,41.492664705381294,42.08364789017542,2955.115528851488,32180.41839690316,90395.48014770343,,32200.278026750017
O00471,sp|O00471|EXOC5_HUMAN,inf,inf,2388.8888888888896,-5555.55555555562,159999.99999999997,,inf
O15173,sp|O15173|PGRC2_HUMAN,1.1295690357241936,7.121716366892424,15791.58083382561,14089.772784910128,14090.074539577983,,8918.6894901786
O75069,sp|O75069|TMCC2_HUMAN,,inf,0.0,-14953434.585908707,26200.164558742195,,
O95487,sp|O95487|SC24B_HUMAN,inf,inf,316.1831983680705,3147.6781485192796,17880.11329019142,,inf
P09211,sp|P09211|GSTP1_HUMAN,10.534445069559956,33.12675692068118,60170.685439625886,127272.41209828675,329500.7003464166,,215818.24615669006
P0DN37_A0A0B4J2A2,sp|P0DN37|PAL4G_HUMAN_sp|A0A0B4J2A2|PAL4C_HUMAN,1.8052146459363434,inf,11047.379004729743,13290.61895153905,13320.069982082025,,9956.71967400241
P13798,sp|P13798|ACPH_HUMAN,inf,inf,75.17829430529638,1732482.7472053473,1737660.8899874564,,inf
P18433,sp|P18433|PTPRA_HUMAN,17.3264518971038,59.08076912078875,6796.573403619667,-107827.50437694337,118.37328821962001,,4907.312238894117
P49589,sp|P49589|SYCC_HUMAN,,inf,0.0,-502724987.2013122,21333286.113128662,,
P78406,sp|P78406|RAE1L_HUMAN,,inf,0.0,3185291.666963428,5479015.437557783,,
Q15057,sp|Q15057|ACAP2_HUMAN,24.16795080153023,36.42363552047484,2669.608057702776,-13292.169974907163,19043.408118444317,,16091.689052288937
Q15758,sp|Q15758|AAAT_HUMAN,65.79067244893379,inf,2210.0000000000005,-38666.666666666715,53000.0,,26865.359722738493
Q6ZMP0,sp|Q6ZMP0|THSD4_HUMAN,0.5825717207387986,inf,38148.984891884975,23135.800154228233,23135.808933886623,,11112.255496622736
Q86XA9,sp|Q86XA9|HTR5A_HUMAN,,inf,0.0,-1568727400.9490151,38601.45387339592,,
Q93096,sp|Q93096|TP4A1_HUMAN,1.700679481572489,41.417576660735115,29172.093598142303,34643.35295247947,34666.9359511618,,24794.399009095225
Q9BW04,sp|Q9BW04|SARG_HUMAN,9.829225608886983,10.740041511827519,4277.494183214434,42400.238129749094,42400.5896696577,,21022.051913803913
Q9HAT2,sp|Q9HAT2|SIAE_HUMAN,90.33831209670396,inf,7358.169196504243,-72821.29695015398,223832.70067149776,,184035.293856251
Q9NUJ3,sp|Q9NUJ3|T11L1_HUMAN,65.11273787346006,77.4466184232469,10542.701773910692,-111909.23984663477,246915.75416767775,,163819.59153419835
Q9NY65,sp|Q9NY65|TBA8_HUMAN,17.933464568620813,inf,75971.43890967694,46818.51260804027,671668.9239532752,,368790.34828429867
Q9NZQ3,sp|Q9NZQ3|SPN90_HUMAN,16.920699187705615,35.382766034882145,7788.243282397387,-81515.20518417825,20433.837268685238,,14916.739664625853
Q9UIQ6,sp|Q9UIQ6|LCAP_HUMAN,38.09636574073608,43.09867962027256,5096.927599764036,-141.30794341761793,109299.03583470981,,42367.03710826771
Q9Y6G9,sp|Q9Y6G9|DC1L1_HUMAN,29.444491216636578,31.58253693734456,5921.190352335973,-70674.39694747177,42966.598919117474,,30352.72072740029
P09603,sp|P09603|CSF1_HUMAN,6.3633372154227565,7.309162092034648,9011.343882168268,22980.888332161994,44333.21766268328,,17994.945277926116
P30039,sp|P30039|PBLD_HUMAN,21.57488351419921,43.7557245404863,2773.8329857051326,-8447.893911718827,23033.288520224207,,14181.970561244301
P30405,sp|P30405|PPIF_HUMAN,20.37217591397521,31.632676289776693,292813.70562740264,-1270023.3056914844,1923154.3386602625,,1386037.3383563263
P40227,sp|P40227|TCPZ_HUMAN,3.316061951617173,4.292667386449323,23320.417842341074,2610.6361469570165,51166.68561006622,,14387.950419846136
Q02252,sp|Q02252|MMSA_HUMAN,59.40119845826699,59.81128736272894,9655.555555555557,-152555.55555555562,204066.66666666663,,108464.67477907786
Q5K651,sp|Q5K651|SAMD9_HUMAN,inf,inf,776.9211341498392,5081.334967329342,29933.862799202067,,inf
Q7Z3U7,sp|Q7Z3U7|MON2_HUMAN,inf,inf,154805.55155719508,-15208555.355139758,170597.22538918257,,inf
Q86YL5,sp|Q86YL5|TDRP_HUMAN,48.351758517901565,48.87345792681165,9159.1109158193,-50777.76890640214,154300.32651396576,,118890.51191000156
Q8IXI1,sp|Q8IXI1|MIRO2_HUMAN,0.6947592006777336,1.6978424410749282,5591.923761330239,17427.645491497224,17433.396233909538,,1939.644870130154
Q8NF50,sp|Q8NF50|DOCK8_HUMAN,16.26593518162414,17.11173381615319,8239.823035477724,66804.97162963195,96533.89744361161,,52149.75079457722
Q8TCS8,sp|Q8TCS8|PNPT1_HUMAN,22.40923330594662,51.40780267645141,11615.803373059487,-175121.04398620676,33633.30099190792,,25773.451422388545
Q8TEX9,sp|Q8TEX9|IPO4_HUMAN,35.47691276131556,inf,1277.8718751116833,-10683.65803558876,11316.218670689297,,11667.536163598932
Q96DZ9,sp|Q96DZ9|CKLF5_HUMAN,19.635408612819706,51.29418703807255,78459.20745721017,-1309533.8001706477,9240.120207676431,,110902.3387409942
Q99542,sp|Q99542|MMP19_HUMAN,13.611705315607892,21.465186650552628,6961.861025989959,-17503.439569829145,38399.99741626144,,19429.68187395018
Q9H7J1,sp|Q9H7J1|PPR3E_HUMAN,4.547246427904448,inf,7861.104036681937,59209.91793315388,64400.135593351864,,15278.0797949946
Q9NRZ7,sp|Q9NRZ7|PLCC_HUMAN,44.564663488453576,inf,5443.684075807152,-78236.83220695774,55332.7241051076,,54513.1963318669
A0A075B6I9,sp|A0A075B6I9|LV746_HUMAN,0.36840663483136793,inf,110032.60538933668,63057.39720685767,63067.49489517844,,20263.3220924463
O60684,sp|O60684|IMA7_HUMAN,92.3945035999921,92.47132679595178,4289.172902569678,-202363.03005105924,15086.744015014236,,89423.11356069463
O60721,sp|O60721|NCKX1_HUMAN,39.411911620889164,inf,7184.272792418226,-47558.714489838414,71234.29095129606,,82176.45945700564
P01593_P01594,sp|P01593|KVD33_HUMAN_sp|P01594|KV133_HUMAN,6.252100421253481,9.092945863033679,22759.543172534894,-43761.29739189407,28133.595246489247,,35200.028409079445
P02679,sp|P02679|FIBG_HUMAN,0.1,1.1090909090909091,6594461.917094834,263357.64325570717,263357.7368310907,,0.1
P08648,sp|P08648|ITA5_HUMAN,49.46644103850393,58.14392086017497,7298.077128703118,-150525.65751587093,106100.45342962223,,52191.89551797685
P11177,sp|P11177|ODPB_HUMAN,4.6690655510006,5.6320042828086745,19276.136687339767,13082.800836601775,67032.90872505336,,18025.718937392663
P15289,sp|P15289|ARSA_HUMAN,19.96771238415674,20.77611932977132,4947.40160014722,57424.11593780926,62199.49882159472,,47006.45465843553
P19971,sp|P19971|TYPH_HUMAN,17.88570935969452,52.722075085884725,34834.90953410213,-358265.17935461854,100167.2194303869,,82307.33435659843
P51970,sp|P51970|NDUA8_HUMAN,24.65294609194195,61.94593236966765,12164.11167201155,-187506.98014755896,68466.5606224584,,21953.82426822261
Q5T5C0,sp|Q5T5C0|STXB5_HUMAN,inf,inf,6767.95671133422,52238.730271659006,273335.1542136692,,inf
Q5TGZ0,sp|Q5TGZ0|MIC10_HUMAN,inf,inf,16370.912631207882,-428860.9076480532,606995.226890014,,inf
Q8NEV1_P68400,sp|Q8NEV1|CSK23_HUMAN_sp|P68400|CSK21_HUMAN,inf,inf,3111.111111111112,83555.55555555545,305333.3333333333,,inf
Q8WU76,sp|Q8WU76|SCFD2_HUMAN,99.07280074399853,inf,5304.3575077270825,-136870.3881630368,182001.02750949815,,103323.06938272143
Q8WXG9,sp|Q8WXG9|AGRV1_HUMAN,81.59634342936909,81.78223895028455,128195.6989294252,-4934967.742306219,3319995.332089345,,1102668.600808909
Q9NRS6,sp|Q9NRS6|SNX15_HUMAN,,inf,0.0,-4610370.15836694,92933.63753024116,,
Q9NUJ1,sp|Q9NUJ1|ABHDA_HUMAN,14.711097641524256,29.356666733383726,5224.812488727371,-47100.780690800835,13033.37487434523,,8364.285557588817
Q9UHY1,sp|Q9UHY1|NRBP_HUMAN,14.64770849671591,15.509852855334943,8986.062524906978,225687.4391176759,234667.13925083535,,61322.76213247048
Q9Y210,sp|Q9Y210|TRPC6_HUMAN,5.630319209065548,6.583548307963876,2818.8296974214772,20073.832910502995,20073.920917947496,,7935.411492516035
A0A0A0MRZ8_P04433,sp|A0A0A0MRZ8|KVD11_HUMAN_sp|P04433|KV311_HUMAN,0.21082794661078735,inf,272001.7641605229,74808.15276252232,74808.22359051647,,28672.75129224028
B0I1T2,sp|B0I1T2|MYO1G_HUMAN,25.89861036598508,46.856579151363036,3760.2713458932744,-15075.292415092283,29833.971792928933,,26238.26912482351
O75347,sp|O75347|TBCA_HUMAN,1.169825956079666,2.168110542381892,23642.524044316833,74731.42540066407,74733.88535726343,,13827.589168840033
P01011,sp|P01011|AACT_HUMAN,21.277604118333027,26.04865841419163,110449.4991339644,-1290593.6944544374,640992.1621730349,,209257.43050659448
P08574,sp|P08574|CY1_HUMAN,21.3760058937748,38.05382282539833,22852.587301599306,-361953.3733827153,50333.50745336211,,38105.08000545626
P13224,sp|P13224|GP1BB_HUMAN,0.1,1.1090909090909091,1085967.6667018302,92360.25697988844,92370.05873845513,,0.1
P24752,sp|P24752|THIL_HUMAN,4.978139237619512,5.937956012997093,11196.91724402379,31794.538793485954,39566.804966841155,,23983.773449749082
P49593,sp|P49593|PPM1F_HUMAN,16.549260846534104,24.978628437793283,22311.364198979678,16699.85153444069,211963.49509375443,,86986.4712058117
Q13526,sp|Q13526|PIN1_HUMAN,1.6821723265015194,2.675281696940898,15454.323823556133,-4987.411645491486,7876.663754008776,,6566.380230639506
Q14289,sp|Q14289|FAK2_HUMAN,45.9955394440678,59.08752988186954,4973.722497630816,-96628.53872979806,77700.41774099042,,27220.046426418565
Q15118,sp|Q15118|PDK1_HUMAN,,inf,0.0,-70734374.22427076,34833.19092692435,,
Q58FF8,sp|Q58FF8|H90B2_HUMAN,20.51607658444665,21.318944497735068,254972.63908619888,932606.4570693469,3366616.887393252,,1398513.880053513
Q8IXS8,sp|Q8IXS8|F126B_HUMAN,inf,inf,30584.28449330345,1147002.4845526004,2796661.153006403,,inf
Q8N335,sp|Q8N335|GPD1L_HUMAN,inf,inf,12711.111111111111,-395817.3739538817,987344.713444321,,inf
Q8WTW3,sp|Q8WTW3|COG1_HUMAN,13.523650689200725,74.66854414128102,6282.904794672892,64266.29237582272,68833.42330726718,,40200.33941260807
Q92608,sp|Q92608|DOCK2_HUMAN,inf,inf,782.2222222222225,46977.77777777777,254000.00000000006,,inf
Q9H0Z9,sp|Q9H0Z9|RBM38_HUMAN,22.24865648016199,inf,3696.534533172467,5683.10231550662,25366.98981863242,,31279.519746242193
Q9NRY4,sp|Q9NRY4|RHG35_HUMAN,50.622375494648544,63.59023647585195,3891.538318749249,-153579.47670394334,543.5246541120578,,21437.956332741185
Q9UL42,sp|Q9UL42|PNMA2_HUMAN,20.760943701308282,21.561338209375876,80587.70544535275,1310768.4084421177,2016648.5368204033,,483598.3436951488
Q9UNS2,sp|Q9UNS2|CSN3_HUMAN,4.449971773155051,12.17118617532434,3889.7558473309177,-11168.13196644391,2686.650341395898,,1727.2607086237897
O43820,sp|O43820|HYAL3_HUMAN,0.1,inf,2793.1814922250874,97.41407831254399,97.41464043315534,,0.1
O43847,sp|O43847|NRDC_HUMAN,78.6149419859641,inf,1788.8888888888896,110777.77777777772,133533.33333333334,,58938.92033189009
O95182,sp|O95182|NDUA7_HUMAN,4.181956759667917,5.149815782297534,4237.715743131728,8020.187942309541,12700.009062964062,,6521.061438443178
P02766,sp|P02766|TTHY_HUMAN,,inf,0.0,-3409872.51929033,34140.929292292334,,
P05023,sp|P05023|AT1A1_HUMAN,1.0146099770931578,2.0144624015669645,35426.033946906115,72902.84258625073,73100.30809465236,,17873.070991485114
P0C7M8,sp|P0C7M8|CLC2L_HUMAN,2.9182488758489926,inf,13321.14314816797,51465.922320785234,51469.49308176017,,19435.420128094876
P10301,sp|P10301|RRAS_HUMAN,inf,inf,3644.444444444442,546222.2222222225,916666.6666666666,,inf
P16615,sp|P16615|AT2A2_HUMAN,2.2862398198510148,3.273247498438378,53691.54994806953,-35230.36283944166,56599.91902824919,,15460.738806552696
P48739,sp|P48739|PIPNB_HUMAN,17.524052494665444,35.01895045034247,11680.125824048839,-95007.86493325442,53900.3221830227,,27887.475484326096
Q53HC9,sp|Q53HC9|EIPR1_HUMAN,11.199179179860495,12.096157167942712,1574.6058264352405,2265.0408881788744,10673.274567951717,,4613.029554063865
Q5W111,sp|Q5W111|SPRY7_HUMAN,88.31045218757707,inf,2027.8648829786184,-23291.5551679856,7601.204025537885,,74094.45279881319
Q7KZI7,sp|Q7KZI7|MARK2_HUMAN,49.66564792156901,inf,431.88759613775966,10431.84515714649,13633.43866915847,,9124.19188972939
Q93052,sp|Q93052|LPP_HUMAN,38.694362841855764,inf,6844.524090622816,-17366.088749635222,76734.70644612877,,85371.85172330905
Q96E52,sp|Q96E52|OMA1_HUMAN,30.12356652473869,inf,2568.4221080825237,-61373.15663145391,7113.348855659293,,4441.764374660142
Q96QE2,sp|Q96QE2|MYCT_HUMAN,,inf,0.0,1603174.9107212909,1686685.8436751256,,
Q9NS86,sp|Q9NS86|LANC2_HUMAN,29.916707132665763,inf,2128.8981576976394,19800.90974121102,35690.1569977031,,23900.187721309943
Q9NZT2,sp|Q9NZT2|OGFR_HUMAN,,inf,0.0,87762.6551452103,90433.29090045407,,
Q9UHB6,sp|Q9UHB6|LIMA1_HUMAN,93.5248573079964,inf,16888.888888888887,-650222.2222222221,413333.3333333334,,257987.6839341917
Q9Y251,sp|Q9Y251|HPSE_HUMAN,2.209624969313466,3.1974065352799967,41849.66019299227,122536.35039566779,143999.83695719283,,35504.28377909723
A0A075B7D4,tr|A0A075B7D4|A0A075B7D4_HUMAN,4.607727866900347,15.206869215022532,9919.850131760282,21750.079664092795,26233.62912511493,,20612.2102132824
O15371,sp|O15371|EIF3D_HUMAN,9.72938519341911,10.641209585404777,6553.97166235777,25402.81538427373,55200.12234661806,,16984.40394374389
O60242,sp|O60242|AGRB3_HUMAN,,inf,0.0,91449.94608870763,102567.84559177417,,
P01833,sp|P01833|PIGR_HUMAN,79.5457657110484,79.75237413820953,8625.634619115917,334564.5723266526,648668.0670950293,,186014.60787646318
P29350,sp|P29350|PTN6_HUMAN,0.9949693565813269,1.9950201711613136,28274.63292456613,96253.67260922966,96366.86617124912,,14009.599883254657
P34096,sp|P34096|RNAS4_HUMAN,inf,inf,1222.222222222222,99777.77777777781,146866.66666666666,,inf
P55285,sp|P55285|CADH6_HUMAN,,inf,0.0,-179674333.60161722,636006.0114243329,,
P82909,sp|P82909|KGD4_HUMAN,14.6587805907831,25.00317082220333,7697.762255676651,-56193.47296717863,26733.373091199013,,14956.480943798986
Q6P3W7,sp|Q6P3W7|SCYL2_HUMAN,1.3005259163792027,2.297490301062241,7066.226911741354,15796.13417231992,15833.410841132787,,4576.26728046147
Q7Z3D6,sp|Q7Z3D6|GLUCM_HUMAN,75.29338885510768,75.54295058384396,1532.9631004349658,33493.81920001801,66666.17380357668,,41124.81610901136
Q86X83,sp|Q86X83|COMD2_HUMAN,inf,inf,755.5555555555553,186777.7777777778,269133.3333333333,,inf
Q8IYI6,sp|Q8IYI6|EXOC8_HUMAN,50.82752784155592,inf,3584.5044466385775,-28273.190972804616,89100.1355522045,,32409.08651734709
Q8N4C8,sp|Q8N4C8|MINK1_HUMAN,inf,inf,284462.8755971417,-28153953.132062856,286904.3859638795,,inf
Q8N6M0,sp|Q8N6M0|OTU6B_HUMAN,46.730403177073114,inf,2824.56114154759,-24301.148227782964,62099.811822302494,,22795.960446363657
Q8NI99,sp|Q8NI99|ANGL6_HUMAN,5.308213806754642,27.307315649629828,33662.17133837833,54196.192670942764,122799.66064162257,,55041.2673465202
Q92575,sp|Q92575|UBXN4_HUMAN,0.8942983003772702,9.90390754579752,4499.126372509422,4790.389832683093,4790.42011304736,,2011.7653938767314
Q96LJ7,sp|Q96LJ7|DHRS1_HUMAN,inf,inf,2878.8888888888896,-142455.5555555556,86733.33333333334,,inf
Q96PD5,sp|Q96PD5|PGRP2_HUMAN,29.737119639816143,30.446845704060426,19800.85339671752,-160886.67017554608,233333.02717344975,,97300.32453982648
Q96SM3,sp|Q96SM3|CPXM1_HUMAN,,inf,0.0,-20966215.643061075,303001.66188047826,,
Q9BRA2,sp|Q9BRA2|TXD17_HUMAN,26.261224665337885,30.730241352287102,17966.222183463866,-310638.89064616855,49099.25154290011,,56038.42747912662
Q9NR50,sp|Q9NR50|EI2BG_HUMAN,85.40935874607842,85.5567389607645,5671.9188705081215,-120113.10400503206,257332.2465651107,,53494.801509868674
Q9NSY0,sp|Q9NSY0|NRBP2_HUMAN,75.95204906516406,inf,684.3841319660011,-46271.746154226654,1926.6378354329281,,1890.9965904209253
Q9UQ90,sp|Q9UQ90|SPG7_HUMAN,inf,inf,2998.591875025418,-190859.1598660376,79967.36743976129,,inf
O15533,sp|O15533|TPSN_HUMAN,1.4879694445619815,17.409105695945904,26475.645837123146,28534.94571529646,37066.50875113867,,15431.694497420833
O43169,sp|O43169|CYB5B_HUMAN,18.364153478494654,19.18875798881289,5965.220584375282,-44742.95328788871,35600.13699979319,,14601.568028430676
O43598,sp|O43598|DNPH1_HUMAN,18.776255333368756,45.030395023593,8521.754673816487,112488.00884123541,135398.91750996912,,68547.86648758661
P07384,sp|P07384|CAN1_HUMAN,2.7705972459567474,22.41290083263215,96793.03143232601,-35718.793360145166,131667.40038451226,,50394.15628477494
P30049,sp|P30049|ATPD_HUMAN,15.2471750934145,16.10326423388506,28158.650957055805,118828.92112301229,290663.94882318634,,128752.42691819982
P51693,sp|P51693|APLP1_HUMAN,30.223164094905393,30.92798061919928,8447.610067964724,-41475.63099377585,71800.93309582194,,71018.47060213749
Q12884,sp|Q12884|SEPR_HUMAN,,inf,0.0,623932.9245579496,697001.6283871063,,
Q15904,sp|Q15904|VAS1_HUMAN,46.69676405711573,inf,34297.44690075895,-1182257.2176823707,10244.412902973825,,204539.07755042572
Q5GLZ8,sp|Q5GLZ8|HERC4_HUMAN,86.85782544437505,inf,3457.7471963182575,-164275.17840848517,21957.896951146977,,57049.66352447816
Q7L8J4,sp|Q7L8J4|3BP5L_HUMAN,82.37433587005363,inf,8788.226496648344,-510556.5855531407,6703.808741223416,,103331.9634213256
Q8TB40,sp|Q8TB40|ABHD4_HUMAN,22.234293773695725,70.15053700404482,4971.533791199148,-84737.52840598398,11720.025354066063,,7040.49452966354
Q8WVJ2,sp|Q8WVJ2|NUDC2_HUMAN,30.674531997711586,61.48585110983977,2057.350429027917,-30417.734819000558,15643.23462040464,,8523.646063158652
Q969X1,sp|Q969X1|LFG3_HUMAN,2.4005130162860864,3.3863664201619845,10940.14352009261,-5671.600187094049,5990.0387928737,,7300.158970026222
Q9BU19,sp|Q9BU19|ZN692_HUMAN,75.37245682462414,inf,39911.11083387719,-2151111.0876613087,153000.0398814804,,352043.67530320387
O43182,sp|O43182|RHG06_HUMAN,25.614345975164735,26.36571621783984,11256.318765205735,34804.760180525074,115901.20456216935,,103613.39943853726
O43681,sp|O43681|GET3_HUMAN,6.943566702510722,7.883530675212634,16120.37097825406,110778.9143380229,141566.77203195693,,40572.50673139554
P20742,sp|P20742|PZP_HUMAN,17.063432872612943,inf,243361.77115457013,-3715944.029793221,68703.82799900882,,183969.69403198513
P20774,sp|P20774|MIME_HUMAN,52.21385294855011,inf,4280.323469899852,149081.15589715156,165667.02126599013,,103453.15743037002
P22692,sp|P22692|IBP4_HUMAN,,inf,0.0,-8912.083101352851,14067.352705793684,,
P29274,sp|P29274|AA2AR_HUMAN,59.274255924083924,inf,1001.2200348594951,-20639.58550624362,3236.6730531066314,,17735.157011615844
P42224,sp|P42224|STAT1_HUMAN,inf,inf,7922.222222222223,-258222.22222222225,247999.99999999994,,inf
Q13188,sp|Q13188|STK3_HUMAN,0.5218258004323166,1.5266558428521924,15770.704667597432,51399.09408307411,51400.24858662996,,4114.203041497426
Q15435,sp|Q15435|PP1R7_HUMAN,24.603891102377744,25.365467959929486,7984.6612087775975,55375.34128420873,151065.5563005219,,50381.75992691535
Q5JXB2_P61088,sp|Q5JXB2|UE2NL_HUMAN_sp|P61088|UBE2N_HUMAN,0.4152391882453793,36.62787948342888,30906.837268458676,13433.696382538894,13433.790041066955,,6416.818180029379
Q8IWV7,sp|Q8IWV7|UBR1_HUMAN,,inf,0.0,855349.3667476824,855361.1888743144,,
Q8NAA5,sp|Q8NAA5|LR75A_HUMAN,72.81453759512603,73.0891382254783,776.7657208003393,-29491.752935074244,10150.152653183974,,8458.96559578163
Q96HD1,sp|Q96HD1|CREL1_HUMAN,1.958991403410231,2.9493046215576024,6305.342581703801,50868.503962187446,50868.737925415306,,6175.93897494318
Q96MH6,sp|Q96MH6|TMM68_HUMAN,27.587642368276235,inf,12006.17376085644,127104.43167918042,146103.30401136828,,156111.57779685085
Q9BVV7,sp|Q9BVV7|TIM21_HUMAN,inf,inf,41000.0,-920000.0,2576666.6666666665,,inf
Q9H008,sp|Q9H008|LHPP_HUMAN,inf,inf,1216.6666666666667,477393.7590695397,699400.8834872359,,inf
Q9NVM1,sp|Q9NVM1|EVA1B_HUMAN,inf,inf,3165.742232457394,13890.943932848237,22883.672139581853,,inf
O15400,sp|O15400|STX7_HUMAN,1.8482154675827063,2.8396476345768202,47433.76696610444,-62052.40678972754,13870.055215010958,,5872.67989386468
O43674,sp|O43674|NDUB5_HUMAN,inf,inf,1441.7841061090671,262821.5901277189,362001.5034367184,,inf
P01034,sp|P01034|CYTC_HUMAN,inf,inf,8733.767526911026,232889.52893424884,392671.7133918607,,inf
P01871,sp|P01871|IGHM_HUMAN,0.1,inf,932832.5747602076,321361.98229049856,321361.9825507868,,0.1
P06733,sp|P06733|ENOA_HUMAN,1.7787020646920662,46.42474658074113,127034.91667156485,758.0657382599602,154999.8470627025,,35857.74362362721
P08571,sp|P08571|CD14_HUMAN,15.640178010056283,21.60501390833513,10499.82394051708,55693.5521155814,74734.25035474052,,72589.20863238932
P20339,sp|P20339|RAB5A_HUMAN,5.5566897333353324,6.510662564311743,9667.744830598873,24658.105602442232,57199.92293961631,,10589.420553760207
P21399,sp|P21399|ACOHC_HUMAN,35.57989562521119,74.62238312508319,6393.327310767933,21583.710467779445,109167.24941841175,,69945.18973215147
P48509,sp|P48509|CD151_HUMAN,1.091117490827795,2.0901971121325644,19908.669249157098,19334.983830960256,19396.77721882259,,10830.451924499223
P50151,sp|P50151|GBG10_HUMAN,,inf,0.0,3065.0698950161286,4240.140415864356,,
Q13617,sp|Q13617|CUL2_HUMAN,inf,inf,911.1111111111105,128555.5555555556,370333.3333333333,,inf
Q14088,sp|Q14088|RB33A_HUMAN,16.677011432796192,inf,12057.684297539165,152628.28864917258,153233.9158720305,,100240.25583012491
Q6NUK1,sp|Q6NUK1|SCMC1_HUMAN,,inf,0.0,1227333.3333333335,1906666.6666666667,,
Q6UXB8,sp|Q6UXB8|PI16_HUMAN,39.14192352602908,65.57522946926898,110910.2570348231,-3775641.028649277,71201.32498976775,,247199.2227351146
Q8TBX8,sp|Q8TBX8|PI42C_HUMAN,42.026353405019066,inf,2082.1742764441524,102087.68918484081,111333.066924034,,39130.40712674431
Q92905,sp|Q92905|CSN5_HUMAN,2.101540917242009,58.46732038913298,6128.08733626056,14024.343166469196,14024.401711590957,,6439.183868231197
Q92954,sp|Q92954|PRG4_HUMAN,11.838906692157677,inf,13336.244371854133,91460.46029796478,91768.98298661501,,78789.0150267719
Q969M1,sp|Q969M1|TM40L_HUMAN,0.1,inf,99265.08148882106,13462.372712806262,13466.739234181965,,0.1
Q969M7,sp|Q969M7|UBE2F_HUMAN,3.2102749602524865,inf,1677.5754308282308,7691.474748091059,7693.414451840366,,2691.769347886669
Q9BUL8,sp|Q9BUL8|PDC10_HUMAN,5.317568852537801,inf,63394.12840374125,-147362.319711575,69066.78006528103,,60336.77142833015
Q9H1B5,sp|Q9H1B5|XYLT2_HUMAN,14.29565499398951,66.2376822703595,6398.85473970753,-6400.44699027061,42133.107148779476,,21471.13278823166
Q9H8W4,sp|Q9H8W4|PKHF2_HUMAN,59.55144678776559,62.41144549974176,4977.775815234003,-188110.94430371313,74100.2409924719,,17111.283143074605
Q9NPI6,sp|Q9NPI6|DCP1A_HUMAN,inf,inf,1510.5442514241327,-4734.012338288441,60693.99623824544,,inf
Q9NPQ8,sp|Q9NPQ8|RIC8A_HUMAN,37.007974916245864,37.64425799789995,4438.133112160737,20533.346491194192,93133.78749588437,,45822.93894255729
