Protein,Protein Description,Protein Gene,AD01_121315_D5_42 Sum Normalized Area,AD02_121676_D8_64 Sum Normalized Area,AD03_131182_E5_19 Sum Normalized Area,AD04_131136_E6_04 Sum Normalized Area,AD05_131127_E7_61 Sum Normalized Area,AD06_131086_D4_29 Sum Normalized Area,AD07_121663_D7_39 Sum Normalized Area,AD08_131027_E2_13 Sum Normalized Area,AD09_131040_E4_54 Sum Normalized Area,AD10_131282_E8_17 Sum Normalized Area,BatchQC_CP01_21 Sum Normalized Area,BatchQC_CP02_63 Sum Normalized Area,BatchQC_CP03_45 Sum Normalized Area,BatchQC_CP04_10 Sum Normalized Area,BatchRef_KP01_56 Sum Normalized Area,BatchRef_KP02_47 Sum Normalized Area,BatchRef_KP03_25 Sum Normalized Area,BatchRef_KP04_07 Sum Normalized Area,HC01_141076_A7_24 Sum Normalized Area,HC02_141337_C3_53 Sum Normalized Area,HC03_121255_D2_08 Sum Normalized Area,HC04_121321_D6_50 Sum Normalized Area,HC05_131028_E3_18 Sum Normalized Area,HC06_141346_A5_11 Sum Normalized Area,HC07_141210_C7_43 Sum Normalized Area,HC08_141198_C8_14 Sum Normalized Area,HC09_111402_D3_41 Sum Normalized Area,HC10_131248_F2_52 Sum Normalized Area,PDD01_141132_A8_46 Sum Normalized Area,PDD02_141202_B3_28 Sum Normalized Area,PDD03_815_F7_03 Sum Normalized Area,PDD04_1089_F8_60 Sum Normalized Area,PDD05_141365_A4_49 Sum Normalized Area,PDD06_131379_B5_59 Sum Normalized Area,PDD07_131387_B6_27 Sum Normalized Area,PDD08_141335_C2_38 Sum Normalized Area,PDD09_121343_C5_06 Sum Normalized Area,PDD10_PST18-0089_F6_20 Sum Normalized Area,PD-noMCI01_141226_B4_48 Sum Normalized Area,PD-noMCI02_141374_B8_40 Sum Normalized Area,PD-noMCI03_131326_C4_15 Sum Normalized Area,PD-noMCI04_141312_C6_55 Sum Normalized Area,PD-noMCI05_141366_F3_57 Sum Normalized Area,PD-noMCI06_131175_A2_12 Sum Normalized Area,PD-noMCI07_131201_A3_22 Sum Normalized Area,PD-noMCI08_141097_A6_26 Sum Normalized Area,PD-noMCI09_141127_B2_62 Sum Normalized Area,PD-noMCI10_131355_B7_05 Sum Normalized Area
sp|Q92963|RIT1_HUMAN,GTP-binding protein Rit1 OS=Homo sapiens OX=9606 GN=RIT1 PE=1 SV=1,RIT1,4.5273E+5,6.2080E+5,7.2377E+5,1.3120E+6,1.4316E+6,1.6838E+6,1.0353E+6,4.3701E+6,1.1604E+6,1.5185E+6,6.3038E+5,3.7213E+5,5.4636E+5,3.7533E+5,4.6702E+5,3.0885E+5,1.8388E+5,4.7514E+5,1.8161E+6,4.7246E+5,3.6889E+5,5.8653E+5,8.3802E+5,4.7439E+5,1.0175E+6,6.2035E+5,5.9884E+5,2.5578E+5,6.2549E+5,3.4883E+5,6.3796E+5,4.5092E+5,7.7676E+5,6.2121E+5,1.8215E+6,6.1898E+5,2.4901E+5,1.9661E+4,6.2755E+5,6.4159E+5,4.6661E+5,6.4789E+5,5.2907E+5,1.3140E+5,6.0310E+5,5.1217E+5,6.0038E+5,5.7709E+5
sp|Q99442|SEC62_HUMAN,Translocation protein SEC62 OS=Homo sapiens OX=9606 GN=SEC62 PE=1 SV=1,SEC62,6.3282E+6,6.9580E+6,4.0285E+6,6.2604E+6,5.9612E+6,1.2240E+7,5.0925E+6,2.9072E+7,1.4723E+7,8.8313E+6,8.7912E+6,6.9365E+6,6.9740E+6,6.8956E+6,5.0268E+6,4.5316E+6,4.2155E+6,4.9300E+6,4.5958E+6,3.0965E+6,5.1515E+6,1.0206E+7,5.1645E+6,4.0684E+6,5.3925E+6,3.5748E+6,1.0419E+7,7.8027E+6,4.7065E+6,3.4950E+6,3.4791E+6,3.3403E+6,4.8202E+6,3.4214E+6,5.1074E+6,2.7509E+6,4.8951E+6,9.1816E+6,3.9484E+6,4.0377E+6,3.7341E+6,4.5360E+6,4.9489E+6,5.7009E+6,3.9165E+6,2.8055E+6,3.5088E+6,5.2229E+6
sp|Q9BVK6|TMED9_HUMAN,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2,TMED9,1.7064E+7,1.8465E+7,2.1589E+7,1.4812E+7,1.3932E+7,2.2618E+7,2.0462E+7,2.3240E+7,3.0486E+7,1.4102E+7,2.4227E+7,2.5873E+7,2.3826E+7,2.0578E+7,2.0296E+7,2.0744E+7,1.8894E+7,2.0073E+7,1.6141E+7,2.3147E+7,1.7530E+7,2.0185E+7,1.3578E+7,2.1397E+7,2.4791E+7,2.0690E+7,1.4829E+7,1.6331E+7,1.8946E+7,1.9571E+7,1.5131E+7,2.2310E+7,2.1594E+7,1.9751E+7,2.4565E+7,2.0264E+7,1.9750E+7,2.1195E+7,2.3435E+7,1.9960E+7,1.7907E+7,2.3237E+7,1.7767E+7,1.9054E+7,2.5480E+7,2.2866E+7,2.6995E+7,2.0736E+7
sp|Q9BX93|PG12B_HUMAN,Group XIIB secretory phospholipase A2-like protein OS=Homo sapiens OX=9606 GN=PLA2G12B PE=1 SV=2,PLA2G12B,1.1324E+5,4.2731E+5,7.5190E+4,7.1139E+4,5.8768E+4,3.6209E+5,3.2050E+4,1.0651E+6,1.5283E+5,5.2727E+4,1.7886E+4,1.9179E+5,1.2623E+5,3.5079E+4,5.3976E+4,3.4147E+4,7.2637E+4,3.7103E+4,0.0000E+0,1.4437E+4,1.6325E+5,2.0524E+5,2.7540E+4,1.3262E+4,3.5857E+3,1.0195E+4,5.6412E+4,1.0139E+5,0.0000E+0,1.8391E+5,0.0000E+0,0.0000E+0,7.3932E+4,2.2895E+4,2.7545E+4,5.6462E+3,5.6783E+3,0.0000E+0,1.1517E+5,3.8564E+4,2.7821E+4,6.2832E+4,4.5936E+4,1.7170E+4,2.4464E+4,4.6587E+3,8.2500E+3,1.6369E+4
sp|Q9NQP4|PFD4_HUMAN,Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1,PFDN4,5.1717E+6,6.2399E+5,9.2984E+5,1.4357E+6,1.5684E+6,1.8405E+6,1.1161E+6,1.0221E+6,4.3712E+6,2.5224E+6,1.7994E+6,1.4951E+6,7.1194E+5,9.6354E+5,7.3840E+5,7.1293E+5,8.0686E+5,5.2395E+5,1.2995E+6,1.0333E+6,4.4601E+5,1.3007E+6,9.2093E+5,9.4984E+5,7.2635E+5,6.7250E+5,8.6507E+5,1.2763E+6,7.8969E+5,4.3747E+5,9.2746E+5,8.1467E+5,5.9944E+5,6.1886E+5,1.4812E+6,8.2144E+5,5.6442E+5,4.9910E+5,8.9716E+5,5.9656E+5,6.5663E+5,8.7071E+5,7.8494E+5,8.4096E+5,8.9466E+5,6.3655E+5,1.3502E+6,5.8705E+5
sp|Q9UII2|ATIF1_HUMAN,"ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1",ATP5IF1,2.9337E+6,5.0062E+7,1.7732E+7,3.2874E+6,4.9616E+5,7.2775E+7,3.4859E+7,3.2188E+7,1.4573E+8,5.8064E+7,3.5026E+7,7.2748E+7,2.0548E+7,6.1240E+7,1.8612E+7,1.0550E+6,2.4734E+7,1.0785E+6,4.4767E+7,1.4784E+6,1.2130E+6,2.6446E+6,2.6205E+7,8.0624E+6,2.7687E+6,2.5100E+7,3.5404E+5,3.0413E+7,4.4599E+6,1.2328E+6,1.1706E+6,5.2760E+5,2.7611E+6,2.3772E+7,3.6049E+6,3.9441E+6,2.3251E+6,5.4053E+7,2.1397E+6,6.4362E+5,6.5256E+6,2.3011E+6,9.9709E+5,1.9951E+7,2.5382E+7,3.8893E+6,2.2899E+7,1.5633E+6
sp|O00471|EXOC5_HUMAN,Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1,EXOC5,6.7355E+5,4.3411E+5,4.5345E+5,2.5580E+6,5.5745E+5,1.8615E+6,5.7733E+5,2.4428E+6,3.8747E+6,1.4756E+6,7.6789E+5,6.0117E+5,6.4465E+5,2.9068E+5,5.3008E+5,4.3159E+5,5.0284E+5,4.5472E+5,2.5698E+6,4.4372E+5,7.0120E+5,4.1806E+5,9.1148E+5,5.4430E+5,4.4542E+5,4.1567E+5,5.6678E+5,6.2959E+5,4.9747E+5,3.8438E+5,6.5570E+5,4.9615E+5,1.0445E+5,4.9898E+5,5.4661E+5,5.4230E+5,2.8997E+5,1.7303E+6,3.1163E+5,2.5572E+5,5.7311E+5,1.7126E+5,5.6268E+5,6.2698E+5,1.1120E+5,6.7442E+5,5.1216E+5,4.8087E+5
sp|O15173|PGRC2_HUMAN,Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1,PGRMC2,1.3513E+7,1.3503E+7,1.6674E+7,1.3999E+7,1.6204E+7,1.5631E+7,1.6578E+7,2.2287E+7,1.6651E+7,8.9018E+6,1.5236E+7,1.5296E+7,1.5608E+7,1.4306E+7,1.6470E+7,1.5433E+7,1.4971E+7,1.6457E+7,1.4006E+7,1.7056E+7,1.2593E+7,1.1360E+7,1.5083E+7,1.5844E+7,2.0042E+7,1.5462E+7,1.2528E+7,9.6579E+6,1.3119E+7,1.8429E+7,1.5879E+7,1.6010E+7,1.9055E+7,1.3652E+7,1.6975E+7,1.4270E+7,1.7305E+7,1.1630E+7,1.9333E+7,1.6773E+7,1.6778E+7,1.5491E+7,1.3505E+7,1.6387E+7,1.6150E+7,1.8384E+7,1.8639E+7,1.8649E+7
sp|O60243|H6ST1_HUMAN,Heparan-sulfate 6-O-sulfotransferase 1 OS=Homo sapiens OX=9606 GN=HS6ST1 PE=1 SV=5,HS6ST1,7.6031E+6,8.3726E+6,3.2275E+6,1.0236E+7,5.7304E+6,1.6419E+7,4.9843E+6,3.7660E+7,1.5433E+7,1.0073E+7,7.2526E+6,4.6920E+6,6.0037E+6,9.1455E+6,2.3190E+6,3.0232E+6,4.2262E+6,2.8606E+6,6.4606E+6,2.2764E+6,1.0258E+7,1.5995E+7,8.4028E+6,2.1425E+6,1.7822E+6,2.8927E+6,1.3831E+7,6.2016E+6,3.6205E+6,3.6195E+6,2.0546E+6,1.2560E+6,3.8192E+6,2.6532E+6,7.9670E+6,1.1406E+6,6.2556E+6,1.4787E+7,2.3860E+6,2.9074E+6,3.2022E+6,1.9175E+6,3.5734E+6,5.6664E+6,3.7811E+6,1.0886E+6,9.2095E+5,2.7137E+6
sp|P13798|ACPH_HUMAN,Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4,APEH,7.1204E+7,9.7201E+7,3.2426E+7,6.6791E+7,6.8777E+7,1.1007E+8,4.9934E+7,3.2772E+8,1.6620E+8,7.0124E+7,5.3287E+7,5.8900E+7,5.4512E+7,5.2778E+7,4.4580E+7,3.8981E+7,4.0448E+7,3.7591E+7,4.4629E+7,2.4485E+7,7.3540E+7,1.1453E+8,4.9728E+7,2.5937E+7,2.7024E+7,2.8757E+7,2.8573E+8,1.2708E+8,2.7252E+7,4.4573E+7,3.0835E+7,2.2398E+7,6.7379E+7,4.7253E+7,4.1378E+7,3.5288E+7,4.7837E+7,1.7209E+8,3.2581E+7,3.4283E+7,3.9384E+7,2.3892E+7,4.2734E+7,7.4351E+7,4.4947E+7,2.2228E+7,2.8511E+7,3.2674E+7
sp|P18433|PTPRA_HUMAN,Receptor-type tyrosine-protein phosphatase alpha OS=Homo sapiens OX=9606 GN=PTPRA PE=1 SV=3,PTPRA,1.6753E+7,1.1087E+7,8.4456E+6,1.1100E+7,1.7773E+7,2.2615E+7,1.1212E+7,6.2569E+7,3.0255E+7,1.5876E+7,2.0003E+7,1.4332E+7,2.1758E+7,1.6150E+7,7.6450E+6,9.0497E+6,8.7247E+6,5.7921E+6,1.0965E+7,5.9721E+6,9.4034E+6,9.3404E+6,8.6632E+6,9.3615E+6,7.0275E+6,9.8053E+6,1.1518E+7,2.8671E+7,8.0118E+6,7.2923E+6,9.4749E+6,4.5729E+6,7.6895E+6,4.4834E+6,7.2426E+6,6.1961E+6,1.1824E+7,3.1706E+7,5.9883E+6,5.7521E+6,6.6704E+6,5.7898E+6,5.7975E+6,1.0682E+7,8.7919E+6,3.7423E+6,6.1203E+6,6.0777E+6
sp|P49589|SYCC_HUMAN,"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3",CARS1,4.1301E+6,3.6199E+6,4.8477E+6,3.5950E+6,7.1976E+6,9.1128E+6,2.0202E+6,4.6157E+7,7.0235E+6,6.8861E+6,7.1438E+6,5.5104E+6,6.0474E+6,5.1871E+6,3.8383E+6,2.8782E+6,3.0686E+6,1.5422E+6,2.7046E+6,2.8774E+6,3.4226E+6,1.0053E+7,2.3628E+6,1.8049E+6,2.4736E+6,2.7022E+6,6.0098E+6,9.3577E+6,4.6534E+6,4.1328E+6,1.0499E+6,3.8023E+6,2.0551E+6,2.9269E+6,3.0101E+6,2.6773E+6,3.2450E+6,7.5433E+6,2.4045E+6,5.0423E+6,3.6807E+6,3.0387E+6,4.8773E+6,1.5659E+6,2.0074E+6,1.5561E+6,1.4762E+6,2.1538E+6
sp|P57053|H2BFS_HUMAN / sp|Q99879|H2B1M_HUMAN / sp|Q5QNW6|H2B2F_HUMAN / sp|P62807|H2B1C_HUMAN / sp|O60814|H2B1K_HUMAN / sp|Q99877|H2B1N_HUMAN / sp|Q99880|H2B1L_HUMAN / sp|Q93079|H2B1H_HUMAN / sp|P58876|H2B1D_HUMAN,"Histone H2B type F-S OS=Homo sapiens OX=9606 GN=H2BC12L PE=1 SV=2
Histone H2B type 1-M OS=Homo sapiens OX=9606 GN=H2BC14 PE=1 SV=3
Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=H2BC18 PE=1 SV=3
Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC10 PE=1 SV=4
Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3
Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1 SV=3
Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3
Histone H2B type 1-H OS=Homo sapiens OX=9606 GN=H2BC9 PE=1 SV=3
Histone H2B type 1-D OS=Homo sapiens OX=9606 GN=H2BC5 PE=1 SV=2",H2BC12L / H2BC14 / H2BC18 / H2BC10 / H2BC12 / H2BC15 / H2BC13 / H2BC9 / H2BC5,5.2842E+8,3.3452E+7,9.5068E+6,3.5697E+7,2.9832E+7,1.9011E+7,1.4464E+7,8.9127E+7,1.2752E+8,1.8321E+7,6.5743E+8,6.0815E+8,6.4571E+8,6.0246E+8,2.5884E+7,2.7994E+7,2.3668E+7,2.7368E+7,3.0704E+7,4.6551E+6,2.2767E+7,2.6028E+7,3.2294E+7,5.4597E+6,1.8556E+7,6.2714E+6,4.9873E+7,3.9315E+7,2.0095E+7,9.9615E+6,1.6932E+7,4.8217E+7,8.3292E+7,3.6802E+6,5.5202E+7,7.4245E+6,2.1668E+7,1.0154E+8,8.6348E+6,1.4272E+7,1.2990E+8,3.5333E+6,1.1929E+7,2.2712E+7,7.8328E+6,2.5761E+6,8.6412E+6,9.2770E+6
sp|P78406|RAE1L_HUMAN,mRNA export factor RAE1 OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,RAE1,2.6374E+5,1.1216E+5,7.3435E+4,3.1849E+5,6.9912E+5,4.7078E+5,1.7698E+5,7.6144E+5,1.4490E+5,1.9062E+5,8.1135E+4,4.4435E+5,3.9131E+5,4.4732E+5,6.7826E+4,9.9526E+4,1.5318E+5,1.0684E+5,1.5237E+5,1.0814E+5,1.5212E+5,2.0117E+4,1.7990E+5,1.0806E+5,6.5556E+4,2.3794E+5,1.0457E+5,1.3469E+5,1.0186E+5,1.0464E+5,8.1026E+4,1.1822E+5,1.6869E+5,2.5994E+5,1.9356E+5,1.0304E+5,1.8590E+5,1.9121E+5,1.1467E+5,7.0569E+4,7.6826E+4,8.9750E+4,1.5613E+5,2.8609E+5,8.9403E+4,9.7716E+4,8.1322E+4,8.1328E+4
